,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
66192,Monday,Fall,22,TENDERLOIN,"ARREST, BOOKED",-122.41506687647,37.7835634796332,6,CDC,close,Pre-School,93969,1
69218,Monday,Fall,10,TENDERLOIN,NONE,-122.413631253258,37.7848053746211,6,CDC,close,Pre-School,98222,1
74365,Sunday,Winter,10,TENDERLOIN,"ARREST, BOOKED",-122.412993783039,37.78556296952871,6,CDC,close,Pre-School,105576,1
81175,Wednesday,Fall,16,SOUTHERN,"ARREST, BOOKED",-122.40816295385729,37.780534538527796,6,IND,very far,Pre-School,115538,2
68620,Saturday,Winter,15,NORTHERN,"ARREST, BOOKED",-122.432142776025,37.780495583709005,5,CDC,close,Pre-School,97355,0
76604,Monday,Summer,17,MISSION,"ARREST, BOOKED",-122.419671780296,37.7650501214668,9,PS,close,Primary School,108686,1
65506,Monday,Winter,13,MISSION,"ARREST, BOOKED",-122.421287377812,37.7488499001814,8,IND,close,Primary School,93005,1
64423,Friday,Fall,15,TENDERLOIN,"ARREST, BOOKED",-122.411615075408,37.7831614109395,6,IND,very close,Primary School,91504,1
65483,Wednesday,Winter,7,TENDERLOIN,"ARREST, BOOKED",-122.415508242782,37.7816542806076,6,CDC,close,Pre-School,92972,1
78908,Thursday,Summer,21,TENDERLOIN,"ARREST, BOOKED",-122.41405629189116,37.782793107100616,6,CDC,very close,Pre-School,112126,4
65331,Friday,Winter,15,SOUTHERN,"ARREST, BOOKED",-122.41029351969,37.7822305870036,6,IND,far,Primary School,92754,1
79811,Wednesday,Fall,16,SOUTHERN,NONE,-122.41197948749405,37.780903969675826,6,IND,close,Primary School,113447,0
76782,Sunday,Spring,23,SOUTHERN,"ARREST, BOOKED",-122.42218826142599,37.7726948236861,6,CC,close,College,108943,1
64594,Tuesday,Spring,20,SOUTHERN,"ARREST, BOOKED",-122.40856003729601,37.7825859895625,6,IND,very far,Primary School,91742,4
75422,Wednesday,Spring,16,TENDERLOIN,"ARREST, BOOKED",-122.415885065788,37.783516056415294,6,CDC,close,Pre-School,107033,1
79916,Tuesday,Winter,6,BAYVIEW,"ARREST, BOOKED",-122.39627766288044,37.74974669245681,10,IND,far,High School,113603,2
64393,Friday,Summer,18,TARAVAL,NONE,-122.490926507083,37.7601312851484,4,CDC,far,Pre-School,91462,0
65188,Tuesday,Winter,0,NORTHERN,"ARREST, BOOKED",-122.42002147104701,37.7872807076108,2,CDC,far,Pre-School,92562,0
74432,Tuesday,Spring,2,MISSION,"ARREST, BOOKED",-122.41527186145201,37.7641969133532,9,IND,far,Primary School,105669,2
83234,Thursday,Winter,18,BAYVIEW,NONE,-122.38499993729346,37.75551974534746,10,CDC,very far,Pre-School,118721,0
69438,Friday,Fall,19,BAYVIEW,"ARREST, BOOKED",-122.393340760404,37.7344139325108,10,PS,far,Primary School,98532,1
65735,Thursday,Spring,22,RICHMOND,"ARREST, BOOKED",-122.486224046082,37.784744273266,1,IND,close,Primary School,93330,1
78003,Tuesday,Spring,10,TENDERLOIN,NONE,-122.41550824278185,37.78165428060756,6,CDC,close,Pre-School,110767,4
70427,Monday,Fall,15,TENDERLOIN,"ARREST, BOOKED",-122.414081138014,37.7832767266062,6,CDC,close,Pre-School,99975,4
69708,Wednesday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.410768766343,37.7832145190013,6,IND,close,Primary School,98924,1
73117,Tuesday,Summer,13,BAYVIEW,"ARREST, BOOKED",-122.390594707019,37.736703393910396,10,CDC,far,Pre-School,103795,1
71119,Saturday,Spring,17,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,100969,1
78870,Thursday,Fall,16,TENDERLOIN,"ARREST, BOOKED",-122.4138200701762,37.78573829503221,6,CDC,close,Pre-School,112073,4
77756,Friday,Fall,21,SOUTHERN,"ARREST, BOOKED",-122.40769310852899,37.7801630691196,6,IND,very far,Pre-School,110421,1
78371,Saturday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.41541417863054,37.78447665902199,6,CDC,close,Pre-School,111326,0
68036,Tuesday,Winter,22,TARAVAL,"ARREST, CITED",-122.48356927083799,37.7230650556781,7,CDC,very far,Pre-School,96539,0
64783,Thursday,Summer,14,NORTHERN,NONE,-122.430332787472,37.8006878988247,2,CDC,close,Pre-School,92005,2
72259,Tuesday,Fall,10,NORTHERN,"ARREST, BOOKED",-122.44352039096,37.7989993135254,2,IND,very far,Primary School,102589,0
68181,Thursday,Winter,13,NORTHERN,"ARREST, BOOKED",-122.42573060453998,37.777910917955396,5,CDC,very far,Pre-School,96747,1
68405,Wednesday,Spring,19,MISSION,"ARREST, BOOKED",-122.419671780303,37.7650501214714,9,PS,close,Primary School,97062,1
75608,Tuesday,Summer,14,BAYVIEW,"ARREST, CITED",-122.393739160349,37.721409092511394,10,CDC,far,Pre-School,107281,0
68965,Friday,Winter,16,NORTHERN,"ARREST, BOOKED",-122.42824524231199,37.7820044139073,5,CDC,very close,Pre-School,97859,1
67779,Friday,Winter,15,MISSION,"ARREST, BOOKED",-122.40753833232701,37.7657827544322,10,IND,very far,Primary School,96188,1
81041,Sunday,Spring,19,CENTRAL,"ARREST, BOOKED",-122.40889927901596,37.80716205632885,3,PS,very far,Primary School,115337,2
82954,Wednesday,Spring,16,TENDERLOIN,"ARREST, BOOKED",-122.41421780432242,37.783259329502506,6,CDC,close,Pre-School,118276,2
71641,Thursday,Winter,22,BAYVIEW,NONE,-122.382475491131,37.7292626391341,10,PS,very far,Primary School,101717,1
79915,Saturday,Spring,22,CENTRAL,"ARREST, BOOKED",-122.41809076669236,37.786100745164475,6,CDC,very far,Pre-School,113602,1
76343,Friday,Fall,10,INGLESIDE,"ARREST, BOOKED",-122.41600022791401,37.711915543725,10,CDC,far,Pre-School,108309,1
63986,Sunday,Fall,21,RICHMOND,"ARREST, BOOKED",-122.480067055164,37.7822909122756,1,CDC,close,Pre-School,90889,0
65351,Thursday,Fall,23,TENDERLOIN,"ARREST, BOOKED",-122.413631253258,37.7848053746211,6,CDC,close,Pre-School,92784,1
74576,Tuesday,Fall,8,PARK,"ARREST, BOOKED",-122.452917923695,37.770258620747704,5,IND,very close,High School,105871,2
77976,Thursday,Summer,20,NORTHERN,"ARREST, BOOKED",-122.42297524258396,37.797664530532096,2,PS,far,Primary School,110728,2
64622,Friday,Winter,9,PARK,"ARREST, BOOKED",-122.446165617978,37.7701611813393,5,IND,very close,High School,91784,0
77778,Sunday,Fall,17,MISSION,"ARREST, BOOKED",-122.419052694349,37.7586324051562,9,CDC,far,Pre-School,110451,4
83284,Thursday,Summer,16,SOUTHERN,"ARREST, BOOKED",-122.41373429281776,37.77462102862936,6,IND,close,Primary School,118796,1
83033,Friday,Fall,5,CENTRAL,"ARREST, BOOKED",-122.41343320199933,37.804685049958216,3,CDC,close,Pre-School,118414,3
71878,Wednesday,Summer,14,TENDERLOIN,"ARREST, BOOKED",-122.41533612902,37.7854364798696,6,CDC,far,Pre-School,102058,1
71378,Friday,Spring,19,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,101340,1
79144,Monday,Fall,9,MISSION,"ARREST, BOOKED",-122.41637483577848,37.76442251655681,9,IND,far,Primary School,112465,2
83224,Monday,Winter,20,TENDERLOIN,"ARREST, BOOKED",-122.41474383538244,37.778719262789004,6,CC,close,College,118708,3
79121,Monday,Spring,9,TENDERLOIN,"ARREST, BOOKED",-122.4156949221336,37.782585196846725,6,CDC,close,Pre-School,112432,4
67398,Friday,Fall,17,BAYVIEW,"ARREST, BOOKED",-122.39340365673401,37.7216835901036,10,CDC,far,Pre-School,95662,1
77887,Wednesday,Fall,20,TENDERLOIN,"ARREST, BOOKED",-122.417107256373,37.785323829209396,6,CDC,very far,Pre-School,110600,1
76787,Sunday,Winter,4,TENDERLOIN,"ARREST, BOOKED",-122.408648588965,37.7849124714135,6,CDC,far,Pre-School,108951,1
77026,Tuesday,Fall,15,TENDERLOIN,"ARREST, BOOKED",-122.41431785788099,37.7799444052046,6,CC,very close,College,109312,4
81596,Monday,Winter,8,BAYVIEW,"ARREST, BOOKED",-122.38795995483822,37.730881014319465,10,CDC,close,Pre-School,116199,2
71415,Wednesday,Winter,15,NORTHERN,"ARREST, BOOKED",-122.422467251653,37.7826837258796,5,IND,close,High School,101387,1
75380,Wednesday,Winter,16,SOUTHERN,"ARREST, BOOKED",-122.41992123668699,37.7704068816765,6,CC,far,College,106974,1
66094,Friday,Fall,12,TENDERLOIN,"ARREST, BOOKED",-122.41673216309601,37.783465567448,6,CDC,far,Pre-School,93826,1
69273,Friday,Winter,11,TENDERLOIN,"ARREST, BOOKED",-122.414900544562,37.7827419623926,6,CDC,close,Pre-School,98292,1
72440,Friday,Spring,2,NORTHERN,"ARREST, BOOKED",-122.418389144431,37.7872676170829,3,PS,far,Primary School,102845,1
81287,Monday,Spring,7,PARK,"ARREST, BOOKED",-122.45197600907369,37.748312147374406,8,PS,very far,High School,115701,2
78603,Monday,Summer,7,INGLESIDE,"ARREST, BOOKED",-122.41651742740521,37.733010386741576,9,CDC,close,Pre-School,111653,2
66575,Wednesday,Fall,17,MISSION,"ARREST, BOOKED",-122.41706704403799,37.748285429414004,9,CDC,close,Pre-School,94503,4
71849,Sunday,Fall,22,TENDERLOIN,"ARREST, BOOKED",-122.412563218508,37.785785061938206,6,CDC,close,Pre-School,102013,1
74375,Saturday,Fall,10,TENDERLOIN,"ARREST, BOOKED",-122.41126513684999,37.782139268152214,6,PS,close,High School,105588,0
63841,Monday,Fall,16,INGLESIDE,"ARREST, BOOKED",-122.402459634951,37.7121817273679,10,CDC,very far,Pre-School,90688,1
66214,Monday,Fall,14,MISSION,"ARREST, BOOKED",-122.419671780303,37.7650501214714,9,PS,close,Primary School,93998,1
64008,Sunday,Spring,21,TENDERLOIN,"ARREST, BOOKED",-122.414056291891,37.7827931071006,6,CDC,very close,Pre-School,90918,4
80639,Tuesday,Winter,3,NORTHERN,"ARREST, BOOKED",-122.44352039095959,37.7989993135254,2,IND,very far,Primary School,114699,4
73897,Monday,Winter,0,INGLESIDE,"ARREST, BOOKED",-122.437123925435,37.71298880060839,11,IND,close,High School,104927,0
76494,Thursday,Winter,11,TENDERLOIN,"ARREST, BOOKED",-122.41635198735202,37.7816031438671,6,CDC,close,Pre-School,108525,1
78264,Sunday,Spring,16,MISSION,"ARREST, BOOKED",-122.41967178029562,37.76505012146682,9,PS,close,Primary School,111163,2
67825,Tuesday,Summer,21,MISSION,"ARREST, BOOKED",-122.41952036788601,37.764228935718,9,PS,far,Primary School,96255,0
73560,Friday,Summer,11,BAYVIEW,"ARREST, CITED",-122.390416955474,37.7355926105862,10,PS,far,Primary School,104445,0
76913,Tuesday,Winter,11,BAYVIEW,"ARREST, BOOKED",-122.389421299039,37.7293538492444,10,CDC,far,Pre-School,109144,1
76838,Sunday,Spring,12,TENDERLOIN,NONE,-122.416710733848,37.7833570390935,6,CDC,far,Pre-School,109027,1
66495,Tuesday,Fall,14,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,94394,1
76211,Wednesday,Winter,12,TENDERLOIN,"ARREST, BOOKED",-122.41635198735202,37.7816031438671,6,CDC,close,Pre-School,108133,1
73078,Saturday,Fall,19,TENDERLOIN,NONE,-122.410955248906,37.7841399509594,6,IND,close,Primary School,103733,1
80945,Monday,Summer,11,NORTHERN,"ARREST, BOOKED",-122.41936629479694,37.78402804520321,6,CDC,very close,Pre-School,115186,2
