,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
16070,Saturday,Fall,20,NORTHERN,"ARREST, BOOKED",-122.432116233695,37.7800304351156,5,CDC,far,Pre-School,23095,2
4189,Sunday,Winter,10,TENDERLOIN,"ARREST, BOOKED",-122.414593411257,37.7845808066125,6,CDC,close,Pre-School,5925,1
13676,Monday,Winter,16,TENDERLOIN,"ARREST, BOOKED",-122.41431222924,37.77983391835871,6,CC,very close,College,19703,1
2136,Friday,Winter,18,INGLESIDE,"ARREST, CITED",-122.400805419866,37.72098863649921,10,PS,very far,Primary School,2997,0
6521,Thursday,Winter,9,MISSION,"ARREST, BOOKED",-122.41469551481,37.7596861764245,9,PS,close,High School,9416,2
905,Thursday,Spring,19,NORTHERN,"ARREST, BOOKED",-122.419183096362,37.78309982445921,6,CDC,close,Pre-School,1258,1
24063,Saturday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.41288317793301,37.7853530358936,6,CDC,close,Pre-School,34417,1
8109,Thursday,Fall,14,TENDERLOIN,"ARREST, BOOKED",-122.412054141237,37.7816136403158,6,PS,close,High School,11716,0
7062,Wednesday,Fall,22,TENDERLOIN,"ARREST, BOOKED",-122.411965795229,37.78491418595621,6,CDC,very close,Pre-School,10191,1
2762,Monday,Spring,18,SOUTHERN,"ARREST, BOOKED",-122.40901120663901,37.7811340568243,6,IND,very far,Pre-School,3909,2
1772,Sunday,Fall,18,TENDERLOIN,"ARREST, BOOKED",-122.41753069698,37.78331075399689,6,CDC,far,Pre-School,2488,1
26317,Saturday,Fall,17,PARK,"ARREST, BOOKED",-122.452706340322,37.769215670589396,5,IND,close,High School,37606,0
26094,Tuesday,Spring,16,TENDERLOIN,"ARREST, BOOKED",-122.413869632554,37.7818621883021,6,CDC,very close,Pre-School,37293,0
1543,Wednesday,Fall,12,TENDERLOIN,"ARREST, BOOKED",-122.415694922134,37.7825851968467,6,CDC,close,Pre-School,2162,4
12424,Thursday,Fall,16,TENDERLOIN,"ARREST, BOOKED",-122.413259498719,37.7829514828801,6,IND,very close,Primary School,17927,1
